document_id,terms
dfc357,icargo|platform|dnata|exceptional service|cargo
1e607a,brussels airlines cargo|pharma handling|ceiv pharma certification|aero|iata
8e9260,dnata|ceiv pharma|dwc|dwc airline services|singapore
3f756f,center|transport|medicinal products|life science competence|alarm
acc74f,dfw airport|community|ceiv pharma|north american hub|international airport
666ca9,pelican|germany|temperature-controlled packaging company|japan|bulk size temperature
7083bd,value-added services|db schenker|spare parts operations|direct access|ako djaf
d7c6ef,air canada cargo|luxembourg-headquartered wallenborn group|distribution contract|norway|cargo
457f5c,champ|cargospot quotes|dataanalytics|lot cargo|sales
f9143e,customers|shipments|mykn service|book|nagel international chief executive detlef
c205cf,swissport|cargo|lufthansa|liège airports|senior vice president cargo europe
dcfc11,wco|iata|security|cargo-xml|air cargo efficiency
df2b37,logistics industry|air cargo community tools|whitfield|chairman peter|innovative
4db03e,jettainer|uld|anniversaries|box|jettware
af3372,new eco-friendly cool centre|pactl|pharmaceutical products|continuous cool chains|warehouse
53dd4b,naran andreyev|region|compliance specialist|senior manager|customs
42bbe5,wfs|procedures|processes|pharmaceutical|iata
af2b1c,pharmaport 360 bulk|tempcontrol customers|valuable biopharmaceutical shipments|united cargo|relevant
5177c5,brucloud slot booking app|forwarders|bru|wfs|trucking companies
a02bbd,air cargo trade|gerhard gerritzen|messe muenchen|year|priyo patra
3946fa,air cargo industry|airfreight|singapore airlines|goh|strong cargo hubs
1320c0,american airlines cargo|new controlled room temperature|alarmed facility|pharmaceutical services|new
bcf333,chep|continued collaboration|solutions president|customer service|ongoing success
f28883,lufthansa cargo|infr8 edgd platform|airlines|airports|infr8 shipping portal
25b250,dhl global forwarding|cargo|programme|dgf|certified company
e1b791,ground handler booking app|brussels airport|slot booking app|delivery times|system
2c6e56,cool centre|lcc|lufthansa cargo|pharmaceutical|service
b750f9,new coolpall flex|system|coolpall lines|peli biothermal|double coolant pods
fc3e98,virgin|digital transformation|customers|operational|end-to-end cargo management software suite
d72e8d,domestic operations|galaxy|mobile app|domestic module|provider kale
f9a352,demovation challenge|airfreight|logistics industry|limited complimentary demo slots|cutting-edge companies
e58cbb,kuehne|nagel|kn pharmachain|facility|temperature
61d025,chief information officer|applications|vgm|company|martin kolbe
676c4a,chief executive officer|schiphol group|andré van den berg|officer|birgit otto
6a8d74,jettainer|uld|repair certificate process|repair partner|special customer requests
3f4b1f,fedex|expanded center|express|large patient pool|reddington
47c98c,supply chain solutions entity|panalpina|freight forwarder|global|karl weyeneth
c02bf4,kiosks|swissport|ground services provider|core cargo stations|customers
d9887b,delta cargo|cargo|ulds|real-time|tracking
81dd8c,sats|experience|nacil|nacil ground|joint venture umbrella
40aca4,platform|times|agents|forwarders|processes
a4c7fa,partnership|asean markets|european|digital cargo|teleport
28df5f,certification|panalpina france|ceiv pharma iata accreditation|pharmaceutical product|devices
8814d6,aat|data|radio-frequency identification|uld tag|truck dock
552ba3,jas forwarding|time-efficient process|air freight capacities|best options|customers
699893,lufthansa cargo|thermal containers|world|high-quality temperature|va-q-tec
eaf5da,network|1gsa|important|important korean market|airlines
f7468f,biopharmaceutical industry|world|dublin airport|packaging company|dublin network station
3be97d,lot cargo director michał grochowski|clients|eastern europe|lot polish airlines|dangerous goods autocheck
a2bc85,abc|pharmaport 360 temperature-controlled container|airbridgecargo airlines|deputy director|gps monitoring systems
daddfc,dnata|ground|cargo|airports|dangerous goods
3acba0,descartes|acquisition|business intelligence offerings|logistics technology company descartes|systems group
265f68,cargo|pharmaceutical customers|brazilian pharma hubs|like brasilia|va-q-tec business development director
bac8d3,dhl|dhl campus vienna airport|eastern european markets|vienna operations|air
faa2da,panalpina|customers|sector|consistent back-haul traffic|stefan karlen
f41808,canadian customs|cbsa|tgc|champ|pre-arrival data
efa0d2,core transport|technologies|logistics tool|galley carts|assets
72d118,dokasch temperature|opticooler|able|customers|battery-powered cooling compressors
3097d5,peli biothermal|coolpall|paul|new product|coolpall flex shipper system
a5efcf,philippe schuler|cca|waste|efficiency|supply chain
d6cf60,cargo iq certification renewal|interest group|cargolux|recertification|luxembourg-based
0632d2,uld track|trial|cathay pacific|trial shipments|bluetooth beacons
d7c622,transsion|dhl|customs clearance|markets|products
e5ac49,multi-modal operators|jan de rijk|solutions|sebastiaan scholte|problems
8101d9,world cargo symposium conference programme|industry|important conferences|new trends|current business environment
98a4d1,schuler|cool chain association members|cca pilot data|pilot|able freight
26b147,ulds|digital solutions|track|cargo composites|unilode aviation solutions
417592,airport|new french air cargo terminal|dhl|maskargo|ups
d48c47,customers|envirotainer e1|e2 containers|envirotainer|american airlines cargo
4e2756,dhl|important logistics hub|freight worldwide network|global transportation network|vienna airport
b53e28,customs|previous dhl platform|dhl|customs connection|historical information
ebed36,delta|outside temperatures|dusseldorf|frankfurt|paris charles de gaulle
d913d8,paperless security process|lufthansa cargo|cargo|paperless airfreight|consignment-specific security information
ab5d0a,freight industry|bita|blockchain|transportation industry|wipro
1735cc,apollo|cargo screening areas|13 truck high|freight|positions
46ed3b,catapult|mercator|logistics management firm|company|executive chairman
e6dcdd,new|inadequate local processing facilities|covers|tyvek cargo|response
035e8e,freight agents|import process|ami|click2ship|company
6fd9e7,turkish cargo|online cargo processing platform|renewed platform|customers|tablets
c2ad22,abc|sky fresh|air freight industry|efficiency|corrective
b22d7b,ocean|new netherlands distribution centre|ceva|rail|road
4f9065,tiaca|tool|online cargo service quality|processes|general airport infrastructure
abacfc,uld cover manufacturer|dupont|new product|dupont european business development manager|yves le minor
a3b476,lufthansa|hyderabad pharma hub|cargo|christopher|dehio
d9b345,changi airport group|free trade zone|ceva|alps|michael yip
79751f,company|lynaye|expertise|th2 temp|enthusiasm
e5cc7f,iss global forwarding|company|supply chain logistics|regional powerhouse|europe
aeeee3,products|luxembourg|trailers|pharmaceutical industry|company
fd9f31,dwc|singapore|quality|london|amsterdam
99c156,swissport|netherlands|iata ceiv pharma certification|secure supply chain|procedures
b8a94e,germany-based dangerous goods specialist|infr8|giv|documentation|transport
ff61e7,system|aviance ghana|airport|galaxy air cargo management system|galaxy
a33d76,supplier validation|new blockchain solution|tys|new platform|blockchain network
f6393b,brussels airport|tool|tiaca csq tool|tiaca|successful pilot scheme
db15ac,unilode|nexiot|able|onasset|cargo management systems
29841a,cargologic|marco gredig|iata|iata ceiv pharma certificate|cargo handler
d97164,descartes cargo 2000|etihad cargo|descartes systems|group|executive vice-president cargo
19ff0e,amerijet international airlines|temperature|amerijet|iata ceiv|pharmaceutical
8f6fff,e-cargoware|regional carrier widerøe|scandinavian regional airline|42 domestic|lone
98b9ec,united|dhl|airline|strong global network|pharmaceutical companies
9a2658,digistics cargo software|company unisys corp|paycargo|system|air cargo world
914599,innoaviation|core solutions|world|uld leasing|nordisk
3926a3,finnair cargo|swissport|pharmaceuticals|operational excellence|world
93df09,ibs|single icargo platform|south korea-based carrier|asiana airlines|uld management
616224,dumont|bertsch|company|ceo|alps
91d207,envirotainer|qatar airways cargo|qep|quality programme|envirotainer provider training
5e1101,certification|products|agility|regulatory agency|brokers
c07bf8,champ|cathay pacific cargo director|worldwide cargo operations|cargospot suite|long term
6866ef,flagship rap e2 solution|suat|rkn e1|toh|envirotainer
2a94ca,operations|control|solution provider|kale|widerøe
73cebb,schiphol pharma initiative|abc|pga|ceiv pharma|russia
18424a,cargo|tiaca|nabil sultan|emirates cargo|market access
6b131f,temperature|location|moisture|information|light levels
78662e,kiosks|company|system|drivers|swissport
c52eba,ami click2ship imports|imports|freight agents|quotes|customers
3f8b39,swissport|cargo centre|segro|re-gear leases|uki cargo operations
163c16,lufthansa cargo cool center expansion|board member operations sören stark|direct access|photo|karin krestan
524560,air cargo billing|ccn|cargo community network|airline partners|reconciliation system
dfed16,emirates skycargo|programme|uae|world customs organization|aeo
64d9b7,csafe global|rkn active temperature-controlled containers|service centre|shanghai|lease
04de5e,cargo iq|member audit|sgs|certification scheme|ariaen zimmerman
b98540,portal|fraport|entire dangerous goods process|frankfurt airport operator|dakosy
21d37f,etihad cargo|cargo control center|shipment planning|issues|abu dhabi-based carrier
228fd7,hactl|cosac-vr system|vr training system|ramp environment|learning process
affda6,cargo iq audit|audit|members|airfreight customers|singapore airlines
12d2ef,us-headquartered company|new customer portal|ireland jason stretton|new heathrow office|system
930639,cargo quality center|cargoxs|champ|ground handlers|center service
da39f9,lufthansa cargo|cargo joint venture partners|europe|carriers|combined network
4349c1,things smarter|lufthansa cargo|jettainer|management|fleet
68fcfd,cool chain association|data|cca|initiative|food loss
80f8ec,goldstar heathrow|trailer manufacturer cartwright|award|tender process|step frame double deck curtainsiders
efc7c7,wfs|company|gdp|ceiv-pharma|africa
88d831,jan de rijk logistics|tiaca|air cargo supply chain|valeant pharmaceuticals|international
88b298,cathay|ble|uld|approach|hong-kong-based carrier
c9d6f8,swissport cargo liège|international|on-site assessment|pharmaceutical logistics industry|training
4c6f85,air cargo community|frankfurt community website|members|joachim von winning|new website
23c732,delta cargo|delta vice president|website|customer experience|acceptance
cee052,mumbai airport|aero initiative|pharma|shippers|manoj singh
71a016,jettainer|dokasch|uld|iata wcs|dokasch sign uld repair agreement
bde5f8,e-do|aisats|awb|e-delivery order|shipment tracking
3e5116,12 hybrid airships|sla|chief executive officer|way cargo|airship reseller
fd2eaa,dhl|exhibit technologies|future solutions|local officials|senior leadership
7c473a,csafe|active containers|region|company-owned facility|pmr
4f7c53,10 startup companies|program|corporate partners|kaleido logistics|cohort
3e51f5,customer satisfaction|virgin atlantic|digitisation programme|cargo|revenue
47e272,ltls|warehouses|lufthansa technik|pilot project|localisation technologies
d6071e,swissport bags|pharmaceuticals|finnair cargo|swissport finnair cool helsinki|processes
15f11d,gefco|facility|wholesale dealer authorisation|healthcare cargo|life sciences
00e5c9,quality management system|head|daniela fantinati|2015 recertification|cargo customers
b50a80,bolloré|global network|thierry|white|richard
ce6e33,ups|finley|healthcare logistics|teresa|business services officer
3a7696,online freight quotation|booking|shipments|dhl-gf|point pairs
89f9b2,aisats coolport|perishables centre|cargo industry|operations|india
0712df,jettainer|lufthansa cargo|trapp|new|director
3228d4,cca|caristo|booming perishables market|pharma|evangelakakis
a6907e,digital tool|cargolux|customers|new online tool|luxembourg-based airline
5cb3f1,united cargo|lufthansa cargo|joint venture agreement|customers|business processes
2f520f,solutions|cold chain packaging|trial products|centre|unique pharmaceutical
5ea879,de rooy logistics|automotive|daily deliveries|new acquisition|fleet
85d42e,kuehne|nagel|largest pharmaceutical companies|healthcare industry|pharma area
207490,fraport executive board chairman|frankfurt-based lufthansa cargo|cargo 2000 quality system|dr wilhelm bender|forwarders
95414f,air india|safety audit|aircraft|isago|safety standards
c8cae1,ami|crowley|crowley senior vice president|mutual deal|cargo screening facility
828e5a,total supply chain visibility|smart sensor|kerry logistics|logistics firm|mathieu biron
3f384d,unilode|reader network|onasset|customers|aviation containers
b2c3f3,customer|international supply chain management software|transportation decisions|buyers|orders
9005fd,envirotainer|shanghai|china|company|rap e2 solution
3ffe6e,new|hong kong|india|colombia|australia
043e88,express|clinical trial|fedex|japan|overseas pharma customers
50919b,pharmaserv|pelican biothermal|cmc element|latest development|operations
e6a436,tonet|temperatures|domestic air freight|panalpina|radio-frequency identification
0942b7,chep aerospace solutions|eqt|solutions|companies|infrastructure fund company
b6a90d,alha group pharma|vegetable importers|nicola caristo|fresh partners|temperature
f41ce5,cargo general manager|e-awb|okan ogur|serdar demir|turkey
2443b3,customs entry details|specific supply chain events|upgrades|ups|improvements
ffaeb4,core transport|descartes|mail|track cargo|global logistics network
dc3996,temperature-controlled packing company|pelican biothermal|sentry biopharma services|new indianapolis facility|industry
99bc51,swissport|new pharma center|united cargo|today|pharmaceutical center
42e9f7,service quality|aeo-c status|aeo certification|certificate|reliability
d4f894,chep|solutions|solutions president ludwig bertsch|sustainability|operational efficiency
69fb48,air europa|spanish airline|lightweight units|solutions president|uld
4ac2b4,mcc|freight|mission control centre|global time critical solutions|tcs
5fffa7,air canada cargo|ceiv pharma certification|pharmaceutical shipments|gta dnata|canadian hub
7fa1ef,lufthansa|service|customers|real-time tracking|livesensor
1b767d,fast|dangerous goods|cargo aircrafts|thailand|hungary
424172,ceva logistics|current customers|supply chains|able|brazil headquarters
a6b294,new basic product|customer|lufthansa cargo|alexis von hoensbroech|cargo airline
a7dc0f,quality|service|iag cargo|security|visibility
56356e,iag cargo|software|carrier|system|accenture air cargo reservation systems
1a0948,maskargo|mainframe system|functionality|costly maintenance|support
6bc462,cargo iq|cool chain association|new initiative|cca|supply chain
f502be,emergency logistics|time-critical spare parts logistics segment|customers|siemens healthcare|high-quality products
fe18f9,dnata singapore|ceiv pharma|changi|global airfreight|cag
c83b53,pharma business|uti worldwide|pharmaceutical|protocols|phil abbate
2c91c4,swissport|oman air ground|cargo|role|international
48c4c4,dnata|dnata netherlands|aircraft|cargo dollies|system
541517,life sciences commodities|near-freezing temperatures|facility|warehouse|ulds
baebdb,bolloré|new facility|french-owned forwarder|hazardous product zones|quarantine
c8ad4e,brussels airport|mvd free airport|montevideo|new pharma|regional distribution
5d06da,cargo|services|ground|significant benefits|erik de geoij
002154,airline industry|travel|companies|mercator|revenue accounting
d24743,customs|ceva logistics|supply chain management company|malaysia|advanced rf warehouse management system
290cbe,panalpina ships|organic fruits|perishables europe division|3pl|vegetables
0f5119,pelican biothermal|award|innovation|minnesota|blood products
eb9bd6,iag cargo today|carrier|customers|company|business
010578,compressor-driven refrigeration unit|charges|extended hold times|special|delays
ef7aa5,tnt|service|healthcare manufacturers|new cold chain packaging|phase change materials
1ba204,icargo|cargo|malaysia-based cargo handler pos aviation|ibs software|productivity
370b99,ups|healthcare-dedicated warehouse|supply chain costs|right places|europe
6113a5,critical pps campaign|american airlines cargo|product|cargo|proactive monitoring process
6d768b,region|pharma industry|pharmachain overland service|nagel|healthcare industry
53d415,csafe|lufthansa|temperature-controlled container supplier|uld lease deal|new partner
155019,bolloré logistics|cold chain|iata|ceiv pharma|certification
8c217f,cargo iq|latest quality standards|platform|richard|white
79435f,aero platform membership|pharma|18 companies|envirotainer|container manufacturer
7d4d8b,peil biothermal|13 new european drop points|packaging firm|middle east|africa
23bb5f,air cargo belgium|new cargo community organization|brussels airport|forwarders|groups
5affdd,dhl|freight|thomas vogel|future|area manager
0af32b,products|envirotainer qep accreditation|abc|airbridgecargo|airlines
755e77,swissport|montreal|ceiv pharma network|international chief commercial officer|superior air cargo
ab0922,tiaca|supply chain|new initiative|jan de rijk logistics|future
683ad2,dhl supply chain|technology|reality|advanced smart glasses|chain
842c74,opticooler|turkish cargo|germany-headquartered dokasch|solutions|active temperature-controlled
a53271,air france cargo|chep aerospace|systems|decision|solutions president ludwig bertsch
d2c98f,sustainability strategy|finnair|new cargo terminal|building|panels
3facbd,brucloud open data|transparent|data|applications|new tools
e3b1e4,finnair cargo|skychain|new cargo terminal|airfreight system|new air cargo management system
04e2dd,turkey|air cargo|new airport|gerhard gerritzen|flexible
df89b3,etihad|jettainer|carsten hernig|smart-ulds|container
3cb955,lug aircargo|misskampf|patrik tschirch|iata ceiv pharma certification programme|hcc
e25892,ceva|pellegrini hub near milan|italian company|borromeo facility|peschiera
b1ae09,new perishables centre|pactl|pharmaceutical services|apron|lufthansa cargo
fa3382,pharma|aero|pharmaceutical shippers|johnson|new members
2cfb35,iag|international airlines group|latest hangar 51 innovation programme|business|start-ups
ed2f9a,virgin atlantic cargo|pharma zone|cargo|customers|wholesale distribution authorisation
c84bab,product|lufthansa cargo|basic|times|customer
8d1ce7,ceva|india|mri|director business development|africa
a6b295,swissport netherlands|iata|pga|amsterdam schiphol airport|ceiv-pharma cert
658202,iata net rates|rates|air cargo rates distribution platform|db schenker|airlines
4a9e11,amerijet|latam cargo|certification|mia|miami
14c87e,air cargo management|warehouse app|mercator|data|intelligent cargo ecosystem
029a81,pelican biothermal|natbio|pharmaceutical|world markets|product
3852c0,ghial|hyderabad cargo charter circle|program|airport|hc3
b6df2a,brussels airport|investments|ground handlers|dnata|cargo area
4f9072,nallian|data|global pharma tracker platform|pharma shippers|airport authorities
2fb6e0,cargo iq re-certification audit|singapore airlines|audit|members|singapore
77f3f2,customers|service|system connection|nagel|kuehne
4dcc54,dhl|productivity|iata ceiv pharma certification|pharmaceutical industry|dublin station
6dc3ba,dhl express|wmx|fiscal approval process|biological samples|day-of
cf094c,rigby|cargo composites|uld|company|new position
b2106c,dnata|operations|uld management|cargo|quality monitoring
b4cc0a,customers|website|unisys|airline|digi-portal marketplace
99b26e,japan customs|traxon global customs platform|luxembourg-based champ cargosystems|aci|house manifests
3785ef,airside access|companies|south america|mou|north
7b02e4,environmental impact|lan cargo|ground operations|environmental certification|airline
f18413,dhl global|platform lifetrack|uniform processes|temperature sensitive products|ceiv pharma certification
9b33ef,new destinations|regional carrier|critical engineering parts|time critical freight services|airline
54868a,delta cargo|globalization|customer feedback|pharma desk|cargo general manager
8e4f75,api|cargo customers|lufthansa|available routes|application programming interface
47177b,tigers logistics|doozee|able|smarthub|customers
23f449,abc|promising freight forwarders|airlines|longer|patients
0d8c8a,pga|pharma gateway amsterdam|comparable quality standard|jonas van stekelenburg|schiphol
686c0e,delta cargo|csafe rap container|delta vice president|virgin atlantic|customers
ccd888,cathay pacific|pharmaport 360 temperature-controlled airfreight container|pharmaport functions like|proprietary hybrid technology|new pharma uld option
da582b,flowers|real-time data|amsterdam airport schiphol|floriculture|platform
aa6a86,cargo iq|members|sgs|member audit|certification scheme
b0c0e9,iata|cts|customs authorities|cargo-xml|cargo
da8d06,pangea|white label platform|freight forwarders|business|freightalia digital platform
a12ce1,system mandatory|fcs|important project|airport|implementation
3b39e8,uld management|state-of- the-art warehouse|sharjah aviation services|business areas|sharjah airport
fbe0d2,data|e-dangerous goods declaration|swiss world cargo|forwarders|carriers
6143a9,pharma|aero|mou|iata|ceiv pharma industry standard
ddf27b,gdp|cargolux|supply chain|good distribution practice|gdp renewal audit
cc3acf,new cargo facility|airport operator aéroports de paris|airport|kuehne|nagel
b82e48,iag cargo|customer service|global operations|executive team|business priorities
346a0c,pharmaport 360 containers|active temperature|bulk shipping containers|cathay pacific|proprietary hybrid technology
f8573d,doozee|tigers|freight rate engine|patrick diesing|rate management platforms
0a1909,pilot freight services|el paso facility|ftz status|customs|chief commercial officer
8c5019,alibaba cloud|aviation brain|technologies|liege airport|aviation sector
893146,pharma e-book|pharma supply chains|schiphol cargo|pharma logistics managers|logistics experts
e613b5,global airfreight|iata ceiv pharma certification|international|dnata singapore|director
92e797,ana|ceiv pharma|pharmaceutical products|quality management|nippon airways
87ce5c,uld management firm jettainer|controllers|thorsten riekert|new uld software|live decision
9a9e63,drop point|peli biothermal|credo xtreme pallet shippers|ats customers|ats healthcare
eb9449,air cargo china 2016 exhibition|eal|luxembourg|gdp|quality
989693,certificate|temperature working group|cargolux airlines international|zones onboard|aircraft
88a9ae,traxon cdmp users|new feature|flight view|quality management solution|worldwide cargo iq airline shipments
13e477,customers|service|rap active temperature-controlled containers|tom weir|dedicated
0d16cf,customs offices|brucargo forwarders|app|brucargo customs export app|brucloud
6c2384,iag cargo|uld container management|fourth year|allread|hangar 51
4031db,unilode|customers|mobile in-flight tracking application|aircraft|data
87665e,swissport|cargo shipments|stuttgart|acquisition|airline clients
c9623b,ami|click2ship service|south africans ready|agent|ship
607de0,vienna airport|air cargo center|flughafen|wien|gunther ofner
659eaf,carriers air cargo solution|digistics|unisys|cross-platform analytics|integrated cargo logistics solution
3fe5a7,carriers|cargo solution|digistics|cargo business easier|cross-platform analytics
bcf241,brucloud app|forwarders|customs|latest application|group
9376e0,sats|partners|cargologic|air cargo corridor|swiss worldcargo
bccc81,customs|ceva|malaysia|advanced warehouse management system|ceva executive vice president
5d8480,shipchain|microsensors|customers|delivery|shipments
b2df17,stockholm arlanda airport service centres|stockholm|zurich airport|rap active temperature-controlled containers|csafe global
b47125,rsa global|fulfilment solution|middle east|new fulfilment option|services
f9e9f0,dhl|arc|singapore facility|country|pharmaceutical
e5d88c,global freight forwarding|group|global air|network|kerry logistics
1ec7e3,customs process|cargosoft transport management system|dakosy|freight forwarders|agent
f168db,trailers|containers|peir|blockchain-based app|companies
2def18,yusen logistics|customs|pharma supply chain|european road network|new operation
bcb769,lufthansa cargo|solution|german carrier|lufthansa|ibs
ca70a2,sustainability programme|tiaca|international air cargo association|champ team|unique position
a943f1,aeroground|companies|ahs|ahs berlin aviation handling services|airports
67da5c,complex logistics|pelican biothermal|kevin lawler|flexibility|shippers
528361,dhl|san diego|ftz footprint|forward cargo screening|miami
2ae73d,engel|ilogistics center|vienna airport|new facility close|international machine manufacturer
a37c7e,unilode aviation solutions|air|korean|global uld pool|pallets
e41096,ceiv pharma certification|singapore airlines cargo|sia cargo|certification|region
9ef97e,lödige|lödige director airport logistics solutions|swissport|cargo|björn ussat
69140d,dnata|europa|acquisition|freight forwarding industry|uae operation
868c74,advanced passive thermal containers|va-q-tec|pharmaceutical market|new collaboration|innumerable customers
920388,tiaca|air cargo belgium|data|digital transformation|vice chairman
adcabf,wfs|facility|milan|gdp|copenhagen
510fc5,pharma|aero|cairo airport cargo company|company|carriers
a3b93b,natbio|pelican biothermal|brazil|chile|competition
d92e1f,tigers|customers|pos malaysia|e-commerce|asia pacific region
d396af,medical devices|ceva|global healthcare sector|diagnostics|middle east
ce676a,brussels airport|brazil|regional distribution|vision|argentina
388c3b,shipment status|air india cargo|operational efficiencies|cargo staff|unisys
142373,traxon cargohub|db schenker|champ|provider|freight forwarder
67ee0c,heavy-lift cargo airship|aeros|new capability|aeroscraft corporation|buoyancy management system
316201,iag|ideas|products|applicants|aviation industry
8e2253,45th anniversary|cargogate|company|future|munich
460f12,swissport|emea|hch|lhr|africa
2af9b3,dhl|leipzig station|frankfurt|ceiv certification|hamburg
fa56c3,db schenker|online platform|german logistics firm|jochen|thewes
e71da1,singapore|operations documentation|manchester|facilities management practices|quality systems
433e04,czech air logistics|iso 9001 cert|commercial director|stephen dawkins|czech republic
74fc26,lufthansa cargo|life|ideas|innovation drivers|industry
fdcf8a,gunn|gefco|logistics sector|team|activities
ba2c74,cargo|airside facility|solution|finnair|janne tarvainen
7b886b,solution|cargospot|linz|freight|compliance
0c6197,new customers|re-designed website|cargo|delta|shippers
b4ddb3,ackerman|cargo conference|dfw|airport|year 2017
80c2d3,air cargo|flagship airline|customer base|product|extraordinary growth
44c289,korean air cargo|ibs software|pricing|profitability|cargo platform
f5d3b5,alitalia|jettainer|specialist|lightweight containers|ground operations
25dbaa,temperature-sensitive cargo|aisats|food solutions provider|perishables|asian gateway services
4f6e0b,customers|af-klmp cargo|unique way|services|gertjan roelands
808f8d,companies|uae|emirates airlines|international freight forwarding company|ground
860431,new toronto station|peli biothermal|johnson|life sciences companies|gilead
4422e6,cargo community|today|supply chain speed|ground handlers|mystery
7e122e,bremen-based dettmer group|largest air cargo handler|rail logistics|tank farms|kerosene pipelines
8c8854,tigers|doozee freight rate quote engine|doozee|group business process|andrew jillings
1beec7,active containers|lot cargo|cold-chain services|csafe global|longest battery run times
857ecf,global solutions|bollore logistics|danish company|logistics projects|danish forwarder
1b3c2b,lug|hcc|iata|services|air cargo community frankfurt
e162b0,icargo|air cargo sales|solution|operations|business
c981a8,va-q-tec|customer|reliable cold chain logistics|innovative rental|company
43beb4,sia cargo|vice president cargo|cold chain services|singapore airlines|quality-assured
91787c,iata ceiv pharma certificate|cyber freight|ceiv|schiphol cargo|iso9001
6e8b8e,lufthansa|lightweight cargo containers|jettainer|plastic container pilot|pilot scheme
ad110d,robots|dhl|niezgoda|baxter|sawyer
702652,shanghai pharma|dhl|temperature-controlled life sciences services|overseas distribution|mou
84a17a,gdp approval|panalpina|frankfurt airport|close|certification
95663d,iata|customs authorities|standards|unctad|trade growth
78f74e,chep|uld management|latam|operational efficiencies|industry
ced76c,vienna|nallian cloud platform|vie|statistics applications|airport
60ec8f,swissport|customer requirements|nimble service model|rutherford|facility
928c4f,rim logistics|blockchain|technology industries|swiss forwarder panalpina|freight
1fe12a,ceiv fresh certification|etihad cargo|cargo|year|perishable business
2b9812,unilode|maindeck ulds|maindeck containers|tped|customers
41b37e,delta cargo|hong kong|customers|beijing|sao paolo
c38aab,panalpina|gdp|certificate|sensitive products|companies
52c81f,db schenker|dlc|dubai|facility|global customers
8b1a6a,cargolux signs|va-q-tec|phase change material|franco nanna|customers
5a79b9,company|core industry verticals|reverse logistics|seko logistics|retail
680c66,db schenker|logistics company|temperature-controlled logistics facility|eco warehouses|distribution center
568143,rap e2 ulds|envirotainer|uld solutions provider|rkn e1|hyd
ee975e,schiphol healthcare facility|ups|15-25 degree celsius|john menna|healthcare logistics
76a480,dokasch|andreas seitz|behne|opticooler|forwarders
cc9edc,mumbai international airport|pharma|aero initiative|aero chairman|shippers
b2075e,american airlines cargo|customers|implementation|technology platform|critical business functions
90e523,ceiv certifications|company bcube|airport communities|certification|supply chain
