document_id,terms
cdd606,service|jettainer|american airlines cargo|cool management|excellence|temperature-controlled ulds|abu dhabi|airline|positioning|uld management provider jettainer
44d783,airbridgecargo signs deal|sonoco thermosafe|temperature-sensitive shipments|abc|agreement|pharmaport|deputy director|airbridgecargo airlines|delivery options|montreux
eba27a,sixth airline|lufthansa cargo|ceiv|iata|certification|pharmaceutical products|airline|alexis von hoensbroech|pharmaceutical shipments|processes
7847e1,delta cargo|rap cool-chain containers|csafe|delta|cold-chain pharma programme|superior insulation|pharma options|atlanta warehouse|compressor-driven cooling technologies|constant temperatures
b8062a,ups|marken|clinical trials|healthcare logistics|acquisition|business services officer|flexible network|company|life science industries|strategic market
37e270,pharmaport 360s|sonoco|cargolux airlines|cargolux|bulk shipping container|international|partnership agreement|sonoco thermosafe|director global services|smooth transportation
4157e4,wca|swiss worldcargo|independent logistics providers|swiss international air lines|air cargo division|freight forwarding network|partnership agreement|specialty groups|understanding|memorandum
529d6f,csafe rap container|approval|easa|csafe global|payloads|new rap temperature-controlled container|extreme ambient temperature conditions|european aviation safety agency|long-duration shipments|technologies
3672ad,african handler siginon aviation|sia cargo agreement|ground|agreement|jkia|singapore airlines cargo|high service standards|sia cargo|rigorous audit|kenyan cargo handler siginon aviation
e8f155,"swissport|second vienna airport warehouse|cargo services|international|7,000 square metres|facility|new warehouse|direct airside access|shipments|vienna airport"
185536,va-q-tec|south america|montevideo operations|uruguay|latin america|president|new latin american head office|group director sales|region|operations facility
d6a9d1,united|dhl|puerto rico|pharma partnership|san juan|324 pallets|services|partnership|dhl global|cold chain storage upgrades
ca2799,"dubai|contract logistics development|second logistics center|work|new dubai airport hub|africa|middle east|facility|3,500 sq m mezzanine area|ultimate goal"
b228ce,wfs|copenhagen airport|pharma|state-of-the-art copenhagen pharma facility|cargo|pharmaceutical products|opening|copenhagen|airport|worldwide flight services
e01ae8,virgin atlantic|csafe rap containers|csafe|cargo|customers|healthcare products|thumbs|temperature range|csafe rap|partnerships
9fb11e,pharma|aero|ceiv|newest members|airport communities|international air transport association|airbridgecargo|alha group|collaboration|pharma shippers
7e0e0a,dhl|iata ceiv|bogota|david goldberg|pharmaceutical industry|pharmaceutical logistics|productivity|approach|dhl global|standards
18637b,frankfurt|largest iata ceiv|europe|air cargo community|hub|celebi cargo|center|independent validators|airline|iata
1f1eb7,dhl application|cold-chain shipments|lifetrack mobile application|free app|android platforms|ios|dhl global|customers|online cold-chain tracking|app
2aee30,skycell|united cargo tempcontrol|temperature-sensitive containers|tempcontrol service|container|temperature|united cargo|precise temperature control|skycell containers|united
2d7394,"swissport pharma center|swissport|3,620 square metre|approach|end-to-end facilities|3,620 sqm|building|efficient air cargo|new warehouse|wirth"
68a1dc,pga|pharma shippers|schiphol|data collection|scientific research|shipments|supply chain|temperature excursions|grant|shippers
a4df5e,"vienna airport|cargo capabilities|pharma centre|13,000 square metres|operator flughafen wien|air cargo centre|new pharma handling centre|expansion|future growth area|€17.9 million investment"
ff6cde,northern ireland forwarder campbell mccleave|gdp status|life sciences|international|passport|gdp|division|levels|irish exporters association|iea
779ac7,aeo certificate|turkish cargo|certificate|istanbul-based carrier|trade operations|turkey|advantage|carrier|international arena|new competence
6db385,cathay|chep|uld fleet|uld management deal|solutions|fleet|chep aerospace|cathay pacific|five-year agreement|pallet accessories
d38cc0,kuehne|vienna airport|nagel|area|pharma centre|pharmaceuticals|handling|2-8c shipments|regional airfreight manager|direct access
84f7d8,iata ceiv pharma certificate|euroairport basel mulhouse|airport stakeholders|euroairport cargo terminal|presence|euroairport|freiburg|fischer road cargo|swiss worldcargo|fiege
382423,cathay pacific|ceiv fresh|iata|perishable cargo|quality assurance|perishable products|special handling|hong kong|accreditation|senior vice president
f38b99,united|rap temperature-controlled container|csafe|united cargo|specialised tempcontrol product|network|rap container|customers|use|capacity
3fe7e4,pactl|airbridgecargo|mou|pharmaceutical shipment|best customer experience|abc|agreement|temperature sensitive shipment sectors|iata ceiv|time
51fa1e,american airlines|csafe rap containers|life-science customers|american airlines cargo|validation approval|autonomous temperature management system|latest airline|global reach|csafe rap system|csafe rap
8ede8e,flower shipment data|schiphol|air waybill numbers|data|flower type|supply chain|boxes|portal|shipments|scmp
bf1809,dachser india|iata ceiv pharma|india|dachser|hyderabad branches|mumbai|ceiv pharma certification|air|director|companies
b5730c,csafe|kalibox passive pallet shipper|shipper|range|sizes|200 litres|japan|quick assembly system|korea|france
185025,wfs|new pharma facility|air india cargo contract|cargo|denmark|copenhagen|pharma volumes|worldwide flight services|new temperature|iata ceiv certification
d4448b,qatar airways|qep accreditation|air cargo carriers|pharmaceutical products|envirotainer containers|envirotainer provider training|quality programme|cargo|qatar airways cargo|global customers
04aa9e,"agility|6,000 sq ft life sciences|packaging firm va-q-tec|india|centre|lsec|preparation|conditioning|excellence center|chief executive"
83f456,emirates skycargo|new white cover solution|dupont|new solution|enhanced protection|tyvek xtreme w50 material|cargo|temperature sensitive cargo|collaboration|white cover
4e3c63,swissport basel|ceiv pharma certificate|pharmaceutical logistics|basel|iata|swissport|pharma logistics|swissport cargo services|cargo facility|euroairport
36cff7,american airlines cargo|iata ceiv pharma certification|process|ceiv|international air transport association|center|iata|independent validators|excellence|miami international airport
619ffe,peli biothermal|uld stations|expansion|frankfurt|company|latest network station|global pharmaceuticals sector|new european drop points|april|crēdo
aa8693,lufthansa|va-q-tec passive temp-control containers|lufthansa cargo|va-q-tainer thermal containers|va-q-tec|va-q-tainer|temperature-controlled specialist|stations|german flag-carrier|joachim kuhn
883b57,lug|dominik misskampf|frankfurt airport|hcc|senior project manager|possible expansion|air cargo supply chain|company|process|health care center
7fade7,brussels|new perishables management app|brucloud|bru|perishable capabilities today|inspection process|fasfc|forwarders|brussels airport|cargo division
761857,swiss worldcargo|csafe rap containers|csafe|latam cargo|latest carrier|airfreight division|swiss international air lines|year|provision|lease agreement
e205fc,peli biothermal|credo|demand network|prague airport|new european drop points|rhenus logistics|network stations|additional locations|europe|customers
