document_id,terms
cdd606,jettainer|temperature-controlled ulds|abu dhabi|american airlines cargo|uld management provider jettainer|cool management|process-related monitoring|24/7 service|successful test run|cool center
51fa1e,american airlines|american airlines cargo|csafe rap|american|csafe rap containers|csafe rap temperature-controlled active containers|latest airline|life-science customers|unmatched operational performance|extreme ambient conditions
8ede8e,air waybill numbers|data|scmp|schiphol|portal|flower shipment data|order number|holland flower alliance|parties|boxes
bf1809,dachser india|dachser|hyderabad branches|india|mumbai|ceiv pharma certification|iata ceiv pharma|iata ceiv pharma certification|second logistics firm|international air transport association
b5730c,kalibox passive pallet shipper|csafe global|innovative time|quick assembly system|easy opening|active container company|thermal protection|200 litres|csafe chief executive officer|brian kohr
185025,wfs|denmark|air india|iata ceiv pharma certification|copenhagen|brussels|new pharma facility|air india cargo contract|worldwide flight services|largest air cargo handler
d4448b,qatar airways cargo|qatar airways|pharmaceutical products|qep accreditation|envirotainer|accreditation|envirotainer provider training|quality programme|air cargo carriers|envirotainer containers
04aa9e,"india|agility|lsec|preparation|va-q-tec|countries|new hyderabad pharma facility|logistics firm agility|hyderabad airport zone|6,000 sq ft life sciences"
83f456,dupont|emirates skycargo|white cover|emirates|skycargo|tyvek xtreme w50 material|new white cover xtreme|temperature sensitive cargo|white cover advanced|protection solutions
4e3c63,swissport|ground handler|basel|swissport basel|pharma logistics|swissport cargo services|ceiv pharma certificate|pharmaceutical logistics|ceiv regulations|highest quality
36cff7,"american airlines cargo|iata ceiv pharma certification|international air transport association|independent validators|pharma certification|home base|miami international airport|25,000 square foot|healthcare facility|philadelphia international airport"
619ffe,peli biothermal|uld stations|latest network station|global pharmaceuticals sector|new frankfurt facility|worldwide expansion|additional depot|demand rental program|close proximity|frankfurt main airport
aa8693,lufthansa cargo|va-q-tainer|germany|va-q-tec passive temp-control containers|temperature-controlled specialist|va-q-tainer thermal containers|german flag-carrier|global network|temperature-controlled container solution|-70°c
883b57,hcc|misskampf|lug|health care center|frankfurt airport|new infrastructure|competitiveness|lug air cargo handling|possible expansion|dominik misskampf
7fade7,brucloud|bru|fasfc|new perishables management app|brussels airport|cargo division|perishable capabilities today|pilot launch|perishable management app|open data
761857,swiss worldcargo|csafe|csafe rap containers|airfreight division|swiss international air lines|latest carrier|csafe rap active temperature-controlled containers|widebody aircraft|100 global destinations|csafe rap
e205fc,peli biothermal|credo|demand network|rhenus logistics|network stations|drop points|number|new european drop points|additional locations|origin point
