document_id,terms
e431d5,ton capacity airbus freighters|egyptair cargo|airline|freighter fleet|cologne services last year|boeing freighters|new aircraft|delivery|total volumes|intra-african routes|future plans|middle east|cargo growth|new freighters|egyptair
654c7b,american airlines cargo reefer containers|cool management|service|airline|shipper|temperature-controlled ulds|abu dhabi|carrier american airlines|transportation process|risk|excellence|temperature-sensitive air freight|cargo|entire fleet|successful test run
33df7f,air cargo security program|canadian shippers|own goods|passenger aircraft|secure cargo|air cargo news|amendments|revised air cargo security process|outbound airfreight consignments|current air cargo security program|air carriers|screen air cargo|transport canada|air cargo|order
0f0757,current gps-enabled cargo tracking products|airline|customer shipments|real-time uld bluetooth tracking|air cargo technology news|delta|electronic unit control receipts|ulds|innovative tracking technology|wide-body aircraft shipments|shipping containers|tracking system|irregular operations|best-in-class product|airports
98988e,hamburg airport cargo center|processes|export customs declarations|time slots|freight forwarders|door clearances|duplicate data|transparency|check-in|system pilot|cargo handler lug|traffic management|hamburg airport head|addition|platform
9b1eca,asia-north america air cargo routes|freighter|new boeing|shanghai pudong|airfreight services|twin-engine air cargo carrier|eva|freight expansion|taoyuan international airport|asia|md11 freighters|dallas/fort worth|weekly freighter flights|air cargo gateways|tons
0af138,finnair cargo|iag|high-volume routes|enhanced interline cooperation programme|japan airlines|helsinki airport|avianca group|major northern european hub|freight arm|finnair|london heathrow|customers|position|access|wide-body
d8da8b,boeing shanghai aviation services|additional conversion capacity|aei|new freighter conversion centre|aerospace|commercial jet services|alabama|kelowna|conversion lines|year|major facilities|conversion centres|china|miami|passenger-to-freighter conversions
a387bd,brand new boeing 747-8|aircraft capacity|abc|total freighter fleet|production delays|new 747-8 freighters|airbridgecargo airlines|additional boeing 747-400|february next year|markets|shanghai|747-200s|commitment|delivery|boeing
f23c5e,shanghai pudong airport|new long-haul routes|dramatic economic growth|gatwick airport|china eastern airlines|tonnes|business hubs|flights|post-brexit britain|yangtze river economic zone|gatwick airport chief executive officer|annual basis|traffic figures|cent|airbus
4002d3,new online booking platform|dhl global forwarding|effective customer experience|toll group last month|bookings|ocean shipments|own service|sme shippers|prior online tool|digital transformation|quotes|lead logistics|24/7 basis|australia|operator
9ee3ea,uganda|freighter aircraft operator|emirates skycargo|skycargo|hub operations teams|charter|tonnes load|cargo commercial|japanese construction company|nile river|narita airport|eastern drc|dubai|new bridge|freighters
9c448a,international air cargo association|latin american presence|major airfreight markets|new airfreight links|network initiatives|region|rapid economic growth|canada|collaboration|industry|strategic alliances|amacarga president|freight forwarders|signature events|mexican association
7fbc07,pharma exports|qatar airways cargo|pharma route network|sri lanka|healthcare products|pharma businesses|global hubs|pharma manufacturing project|pharma industry|pharma operation|pharma companies|future earnings|specialist pharmaceuticals transport solution|cargo customers|pharma
bd1fb2,freight forwarder news|hong kong charters|los angeles international airport|brand-new building|new charter service|first tenant|south bay area|few times|prism realty corporation|fourth quarter|facility|air cargo news|plans|san francisco-headquartered freight forwarder flexport|statement
a794b4,pharma logistics news|new frankfurt facility|worldwide expansion|network station|additional depot|global peli biothermal clients|demand rental program|location|new european drop points|company|sao paulo|major logistics hub|packaging|frankfurt main airport|credo line
92f079,container carriers hapag-lloyd|alliance agreement discussions|tug services|amendment|potential anticompetitive behaviour|shippers|fmc commissioner|sub-contractors|american waterways operators|vessel space|port gateways|hanjin bankruptcy|safeguard offerings|agents service providers|framework language
f6c863,turkish airlines|cargo fleet|777s|fastest-growing aviation markets|strategic collaboration framework|istanbul airport|line maintenance|global freight network|major freighter order|turkey last year|aircraft technicians|delivery times|airline|record financial results|25-percent tonnage increase
