document_id,terms
53a9fc,lithium batteries|qantas|batteries|passenger planes due|united airlines|freighters|emergency|ban|explosion|carrier|delta airlines
79279b,ceiv fresh|handling|senior vice president|spoilage|nick careen|wastage|quality assurance|towards|airport|passenger|organisations|cathay pacific|world|perishable products|cargo
2ca96a,connectivity|cargolux|220 million cargo development project|swissport|regional manufacturing|central geography|capacity|50 percent additional cargo|online last week|burak|tenant operators|international trade|apron pavement|upon completion|facility
a5f5bf,sodexi|paris airport warehouse|new facility|passenger terminals|aéroports de paris|located|next|hub|high|modern|performance facility|southern europe|new|freight|e-commerce-related
84a10f,one|alphaliner|services|major changes|commercial contacts|first fiscal year|nyk|1bn|mol|operations|safe|31 march 2019|consolidated|three new weekly loops|vessel planners
8d11d9,volga-dnepr|chapman freeborn|aircraft|cargo|historic solar impulse flight|passenger|project operations|spare parts|north america|around si2|flight permits|mobile hangar|customs clearance|wing 24 flight support team|ground handling
881323,american airlines|gsa|local services throughout mexico|puerto vallarta|monterrey|leon|customers|general sales agent|guadalajara|fast-growing markets|entire product portfolio|vast global network|auto parts|shanna abbott|pharmaceuticals
df1b02,cargo-partner|albonair|versatile logistics services|besides customs clearance services|flexible supply chain management|communication|single source|reliable|weekly air|road transportation|whenever necessary|india|chennai|shipment tracking|capacity
8e3cc1,dublin next week|leixoes|new service|peel|container distribution service|shippers|integrated|wec lines md nico valkenier|quayside-to-inland destination distribution|end-to-end|300 teu vessels|transport costs|liverpool|dublin|although
c07dcb,emirates|first uae-manufactured space satellite|khalifasat|emirates skycargo|first satellite|satellite|uae|mbrsc|space|entire transportation process|journey|incheon airport|emirates divisional senior vice president|cargo|momentous occasion
d16a1a,dallas airport|dnata|first dedicated perishables centre|ground handler dnata|first launch customer|dfw|fresh fish|seafood|meat|ceiv accreditation|japan airlines|vegetables|flowers|iata|fruits
5644af,volga-dnepr airlines|volga-dnepr|logistics specialists|deputy commercial director|ekaterina andreeva|speedy|volga dnepr|7-metre long box alongside|quick response|request|several|support equipment|uplift|volga-dnepr charter cargo operations|ability
8bb49c,year|trading curbs|carrier|supply chain imbalance|alphaliner|cheap fuel|asia-north europe tradelane|ulcv|route|biggest boxships|2014|75 void sailings carriers|sailings|ships|january-august period
59ff88,dnata|manchester airport|uk cargo-handling operations|cargo|airline|manchester|businesses|gary chapman|singapore|philippines|switzerland|china|pakistan|uae|transaction
58cf4f,press conference|qatar chief|carrier|blockade|second 747-f|due|qatar airways|cargo boom|first two planes|freighter aircraft|airline|country|conference|additional four 777-300 passenger aircraft|additional markets
df7822,robo-pallets|afrl|robo-freighters|us air force research laboratory|commercial air-cargo handling|direct application|shipping|announcement|solicitation|effort|cargo|built-in navigation capability|intelligent mechanical platforms|fit|able
b54335,four a350s|ethiopian airlines|a350|long-haul network|ethiopian|operational|officer customers|airbus commercial aircraft chief|performance|cost efficiencies|aircraft|john leahy|middle east|asia|repeat order
c7d974,amazon|product|faa|dangerous air cargo|day|company|federal aviation administration|amazing liquid fire|dallas morning news|first time|seattle-based online retailer|shippers|drain cleaner|sophisticated technologies|issue
4ec973,antti kuusenmaki|cargo|kuusenmaki|finnair|cargo strategy|carrier|new freight terminal|acw|salmon|asia|seafood|pharma|facility|china|regions
b26d8d,cargolux|beluga whale flight|little grey|little white|landmark journey|whales|onto|safe|ferry|shanghai pu dong airport|comfortable throughout|new home|iceland|welfare|sea life trust
801271,cargo fire|dents china|aviation safety record|china southern passenger a321|information|day|hold|available|china southern tyre fire|cargo|200 pilots|combustibles|investigation|hainan airlines crash|nothing
72cf74,cool chain event|supplier management solutions|drones|pharma|international air cargo association|network|new|cca|unmanned aircraft|industry|agenda|cost-effective|share insights|smart data applications|tiaca
df01b1,vienna airport|pharma centre|air cargo volumes|cargo capabilities|demand|new pharma handling centre|future growth area|dhl|developments|air cargo centre|management board|facility|crucial|gateway|airport
3f1626,brussels airlines|cargo business|carrier|customer|brussels airlines cargo|freight activities|cargo|unique cargo brand|philippe saeys-desmedt|alg|ambitious strategic plan|decision|passenger services|chief|ecs
26196f,pelican biothermal|award|minnesota|innovation|blood products|hard|vaccines|tissue|blood supplies|network stations across|germany|diagnostics|frankfurt|sao paulo|80 drop-points
7087f3,african handler siginon aviation|sia cargo agreement|ground|kenyan cargo handler siginon aviation|siginon aviation|processes|sia cargo|facilities|jkia|new agreement|business growth|customer satisfaction|relationship|decade|jared oswago
a02ca1,improved uld logistics|acl airshop|uld tracking tech|silk way west|ulds|airfreight supply chain|black spots|bottom line|so-called|emile khasanshin|market|steps|strategic|real-time bluetooth-enabled uld tracking technology|uld locations within airports
654c7b,service|jettainer|american airlines cargo|uld management provider jettainer|cool management|airline|successful test run|leasing|costs|forwarder|risk|extent|containers|access|temperature-controlled ulds
33df7f,air cargo|canadian shippers|canada|airport|shippers|transport canada|canadian airports|amendments|air cargo security process|outbound airfreight consignments|robust known-consignor program|country|current air cargo security program|screen|air carriers
0f0757,delta cargo|real-time uld bluetooth tracking|technology|delta|first airline|shipments|tracking|irregular operations|customers|like inclement weather|due|delta vice president-cargo shawn cole|cargo control center|ulds|shipping containers
98988e,processes|times|new platform|data|frankfurt airport|door clearances|system|day|platform|several hours|easier|export customs declarations|dakosy spokesperson|electronic forms|slot bookings
9b1eca,eva|first boeing 777 freighter|taiwan|hong kong|singapore|osaka|bangkok|chongqing|penang|shenzhen|taoyuan international airport|san francisco|atlanta|tpe|airfreight services across 62 routes
0af138,finnair|iag cargo|japan airlines|partner programme|access|scheme|qatar airways|avianca group|chief commercial officer|customers|attraction|american airlines|helsinki airport|madrid|connections via london heathrow
d8da8b,aei|year|md80sf|crj200sf|hamilton|737-400sf|additional conversion capacity|737-800sf|british columbia|ontario|demand|three conversion centres|aeronautical engineers|florida|kf aerospace
a387bd,abc|airbridgecargo airlines|boeing|fleet|february next year|fifth 747-400f|extra aircraft|production delays|back|one 747-300|new 747-8 freighters|fifth 747-400 freighter|two 747-200s|decision|total freighter fleet
f23c5e,shanghai|china eastern|gatwick airport|imports|exports|stewart wingate|dramatic economic growth|country|services|gatwick|gatwick airport chief executive officer|delighted|vital new link|global financial centre|airport
4002d3,dhl global forwarding|new online booking platform|online booking|online needs|customers|ocean shipments|system|new features|book|new service|loadstar|toll group last month|decision|new online quote|migration
9ee3ea,emirates|freighter aircraft operator|cargo carrier|new bridge|uae-based passenger|entebbe via|across|narita airport|japanese construction company|neighbours burundi|charters|emirates skycargo|rwanda|eastern drc|uganda
9c448a,international air cargo association|tiaca|amacarga|region|world|latin american presence|air cargo forums 2018|network initiatives|keen|signature events|joint training|2020|global standards throughout|two organisations|amacarga president
7fbc07,qatar airways cargo|pharma route network|73 destinations|pharma network|country|colombo|qatar airways|specialist pharmaceuticals transport solution|total|customers|healthcare products|dublin|export processing zone last year|carrier|extensive pharma network
bd1fb2,flexport|san francisco-headquartered freight forwarder flexport|hong kong charters|new la facility|los angeles international airport|close|first tenant|new charter service|brand-new building|air cargo news|freight forwarder news|statement
a794b4,peli biothermal|latest network station|global pharmaceuticals sector|new frankfurt facility|worldwide expansion|company|latest location|transfer|pharmaceutical manufacturing|global peli biothermal clients|frankfurt main airport|expansion|air cargo news
92f079,fmc commissioner|amendment|mr doyle|alliance agreement|ports|objections|services|fmc|federal maritime commission|parties|american roll-on roll-off carrier|disruption|adverse consequences|ocean carriers|arc
f6c863,turkish airlines|turkish|future fleet|boeing|longer range|carrier|cargo growth|services collaboration|current|last january|777-200lr|rapid growth|double-digit passenger|third airport|airline
